[14, 112, 458, 368, 196, 339]
[20, 155, 484, 424, 218, 273]
[50, 182, 471, 392, 232, 257]
[148, 399, 216, 285, 41, 478]
[156, 354, 203, 280, 27, 470]
[190, 435, 206, 267, 94, 464]
[217, 478, 377, 320, 178, 85]
[225, 464, 356, 252, 125, 61]
[242, 470, 437, 301, 117, 4]
[272, 177, 34, 455, 385, 228]
[296, 138, 73, 479, 348, 195]
[307, 102, 2, 479, 355, 230]
[325, 153, 75, 445, 352, 192]
[334, 126, 32, 455, 347, 200]
[336, 150, 21, 445, 345, 239]
[351, 198, 458, 274, 181, 68]
[379, 204, 471, 312, 132, 40]
[407, 223, 484, 248, 187, 55]
[438, 78, 158, 364, 244, 319]
[438, 366, 202, 9, 316, 140]
[447, 70, 157, 426, 234, 308]
[447, 384, 229, 64, 303, 108]
[468, 63, 122, 388, 237, 341]
[468, 415, 224, 90, 290, 136]
