[34, 129, 266, 328, 385, 559]
[34, 287, 552, 328, 420, 148]
[34, 338, 480, 165, 417, 170]
[34, 338, 480, 165, 440, 235]
[34, 415, 317, 480, 235, 165]
[58, 117, 220, 322, 437, 502]
[58, 237, 153, 468, 322, 559]
[58, 330, 484, 155, 296, 430]
[58, 330, 484, 155, 433, 284]
[58, 376, 340, 484, 284, 155]
[72, 154, 309, 331, 432, 552]
[72, 217, 107, 387, 331, 502]
[72, 359, 481, 130, 174, 465]
[72, 359, 481, 130, 379, 295]
[72, 413, 352, 481, 295, 130]
[119, 92, 225, 429, 520, 358]
[119, 242, 328, 470, 546, 31]
[119, 309, 65, 415, 321, 482]
[119, 371, 376, 65, 478, 278]
[119, 371, 501, 5, 296, 438]
[119, 371, 501, 24, 415, 208]
[119, 371, 501, 24, 429, 287]
[119, 386, 28, 331, 495, 180]
[119, 542, 276, 405, 358, 48]
[119, 551, 45, 296, 328, 436]
[120, 26, 278, 465, 328, 511]
[120, 215, 358, 417, 95, 556]
[120, 306, 42, 379, 515, 339]
[120, 331, 430, 42, 472, 225]
[120, 331, 551, 35, 399, 180]
[120, 331, 551, 50, 174, 465]
[120, 331, 551, 50, 379, 295]
[120, 455, 23, 371, 525, 296]
[120, 485, 303, 454, 328, 67]
[120, 501, 6, 180, 433, 358]
[127, 95, 215, 438, 539, 371]
[127, 220, 57, 413, 358, 532]
[127, 245, 331, 390, 512, 59]
[127, 321, 415, 57, 482, 310]
[127, 321, 565, 6, 436, 170]
[127, 321, 565, 27, 413, 303]
[127, 321, 565, 27, 438, 217]
[127, 444, 75, 322, 554, 271]
[127, 522, 306, 402, 371, 56]
[127, 530, 44, 170, 331, 429]
[139, 11, 175, 436, 321, 556]
[139, 266, 47, 376, 478, 371]
[139, 301, 322, 396, 515, 63]
[139, 358, 413, 47, 532, 233]
[139, 358, 499, 1, 174, 429]
[139, 358, 499, 78, 237, 436]
[139, 358, 499, 78, 376, 209]
[139, 446, 3, 328, 561, 190]
[139, 475, 50, 174, 322, 438]
[139, 525, 274, 403, 321, 66]
[144, 35, 233, 417, 322, 563]
[144, 225, 321, 430, 539, 92]
[144, 276, 0, 440, 512, 339]
[144, 328, 465, 0, 511, 175]
[144, 328, 475, 44, 417, 170]
[144, 328, 475, 44, 440, 235]
[144, 328, 475, 94, 397, 190]
[144, 412, 39, 358, 522, 174]
[144, 499, 5, 190, 321, 379]
[144, 566, 208, 467, 322, 4]
[159, 94, 310, 430, 331, 472]
[159, 175, 371, 465, 520, 11]
[159, 274, 93, 433, 546, 339]
[159, 322, 417, 93, 563, 215]
[159, 322, 530, 26, 271, 439]
[159, 322, 530, 45, 296, 430]
[159, 322, 530, 45, 433, 284]
[159, 389, 19, 321, 542, 170]
[159, 516, 209, 447, 331, 14]
[159, 565, 1, 271, 371, 440]
[169, 99, 35, 417, 322, 563]
[169, 164, 557, 469, 371, 23]
[169, 399, 35, 322, 563, 152]
[169, 399, 102, 75, 334, 557]
[169, 429, 557, 102, 330, 75]
[213, 136, 495, 410, 339, 79]
[213, 163, 11, 436, 321, 556]
[213, 390, 11, 321, 556, 126]
[213, 390, 128, 495, 80, 344]
[213, 397, 495, 128, 341, 80]
[222, 150, 42, 379, 515, 339]
[222, 153, 24, 436, 321, 556]
[222, 158, 328, 436, 42, 563]
[222, 415, 24, 321, 556, 126]
[222, 439, 42, 339, 515, 117]
[222, 439, 138, 91, 369, 522]
[222, 470, 328, 42, 563, 126]
[222, 481, 152, 385, 321, 66]
[231, 99, 554, 383, 339, 91]
[231, 125, 92, 429, 520, 358]
[231, 396, 92, 358, 520, 164]
[231, 396, 118, 554, 71, 353]
[231, 399, 554, 118, 324, 71]
[244, 99, 0, 440, 512, 339]
[244, 107, 78, 438, 539, 371]
[244, 125, 322, 438, 0, 472]
[244, 376, 78, 371, 539, 124]
[244, 396, 322, 0, 472, 124]
[244, 399, 0, 339, 512, 154]
[244, 399, 109, 79, 325, 542]
[244, 480, 98, 437, 371, 56]
[249, 136, 93, 433, 546, 339]
[249, 148, 27, 429, 520, 358]
[249, 163, 331, 429, 93, 511]
[249, 390, 331, 93, 164, 511]
[249, 397, 93, 129, 546, 339]
[249, 397, 156, 69, 365, 525]
