[0, 36, 24, 60, 17, 53, 34, 51, 58, 6, 23, 30, 9, 43, 45, 15]
[0, 36, 24, 60, 17, 53, 34, 51, 58, 6, 23, 30, 41, 11, 13, 47]
[0, 36, 24, 60, 17, 53, 34, 51, 58, 22, 7, 43, 9, 45, 14, 31]
[0, 36, 24, 60, 17, 53, 50, 35, 59, 6, 23, 42, 9, 45, 30, 15]
[0, 36, 24, 60, 17, 53, 50, 35, 59, 22, 7, 31, 9, 42, 45, 14]
[0, 36, 24, 60, 17, 53, 50, 35, 59, 22, 7, 31, 41, 10, 13, 46]
[0, 36, 24, 60, 33, 57, 18, 51, 54, 5, 23, 29, 10, 43, 46, 15]
[0, 36, 24, 60, 33, 57, 18, 51, 54, 5, 23, 29, 42, 11, 14, 47]
[0, 36, 24, 60, 33, 57, 18, 51, 54, 21, 7, 43, 10, 13, 46, 31]
[0, 36, 24, 60, 33, 57, 50, 19, 55, 5, 22, 29, 10, 43, 46, 15]
[0, 36, 24, 60, 33, 57, 50, 19, 55, 5, 22, 29, 42, 11, 14, 47]
[0, 36, 24, 60, 33, 57, 50, 19, 55, 21, 6, 42, 11, 13, 30, 47]
[0, 36, 24, 60, 49, 18, 35, 54, 59, 5, 23, 41, 10, 29, 46, 15]
[0, 36, 24, 60, 49, 18, 35, 54, 59, 21, 7, 31, 9, 42, 45, 14]
[0, 36, 24, 60, 49, 18, 35, 54, 59, 21, 7, 31, 41, 10, 13, 46]
[0, 36, 24, 60, 49, 34, 19, 55, 58, 5, 22, 41, 11, 29, 14, 47]
[0, 36, 24, 60, 49, 34, 19, 55, 58, 21, 6, 30, 9, 43, 45, 15]
[0, 36, 24, 60, 49, 34, 19, 55, 58, 21, 6, 30, 41, 11, 13, 47]
[0, 36, 56, 28, 17, 53, 34, 51, 62, 6, 23, 26, 9, 43, 45, 15]
[0, 36, 56, 28, 17, 53, 34, 51, 62, 6, 23, 26, 41, 11, 13, 47]
[0, 36, 56, 28, 17, 53, 34, 51, 62, 22, 7, 10, 41, 27, 13, 47]
[0, 36, 56, 28, 17, 53, 50, 35, 63, 6, 23, 11, 41, 26, 13, 46]
[0, 36, 56, 28, 17, 53, 50, 35, 63, 22, 7, 27, 9, 42, 45, 14]
[0, 36, 56, 28, 17, 53, 50, 35, 63, 22, 7, 27, 41, 10, 13, 46]
[0, 36, 56, 28, 33, 61, 18, 51, 54, 5, 23, 25, 10, 43, 46, 15]
